Name,Other Name,DOB,Spouse,Awards,Constituency,Political Party,Children,Relatives,Occupations,Website,Notable Works,Parents,Honours,Age
Hebah Patel,Unknown,1989-01-06,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actress model,Unknown,Unknown,Unknown,Unknown,6
Isha Koppikar,Unknown,1976-09-19,Timmy Narang ​ ​​,Unknown,Unknown,Bharatiya Janata Party,1.0,Unknown,Actress politician model,Unknown,Unknown,Unknown,Unknown,19
Jaya Prada Nahata,Lalita Rani,1962-04-03,Srikanth Nahata ​​,Unknown,Andhra Pradesh,Bharatiya Janata Party (2019–Present) [ 6 ],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4
Jayamala,Unknown,1959-02-28,Unknown,Unknown,Unknown,Indian National Congress,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,28
Jayamalini,Alamelu Manga Chennai,Unknown,Parthiban,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
Jayanthi,Kamala Kumari,1945-01-06,Peketi Sivaram,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6
Jennifer Kotwal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Juhi Chawla,Unknown,1967-11-13,Jay Mehta ​​,Full list,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Full list,Unknown,Unknown,13
Jyothika,Jyothika Sadanah,1978-10-18,Suriya ​​,Full list,Unknown,Unknown,2.0,Unknown,Actress film producer,Unknown,Full list,Unknown,Unknown,18
Kanchana,Vasundhara Devi,1939-08-16,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,16
Karthika Nair,Unknown,1992-06-27,Rohit Menon ​​,Unknown,Unknown,Unknown,Unknown,Thulasi Nair (sister),Unknown,Unknown,Unknown,Unknown,Unknown,27
Karunya Ram,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actress model,Unknown,Unknown,Unknown,Unknown,Unknown
Kausalya,Kavitha,1979-12-30,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actor model,Unknown,Unknown,Unknown,Unknown,30
Kaveri,Kavumbhagom,Unknown,Surya Kiran ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kavitha,Unknown,1992-07-26,Chandan Kumar ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,26
Krishna Kumari,Unknown,1933-03-06,Ajay Mohan Khaitan ​ ​​,Unknown,Unknown,Unknown,Unknown,Sowcar Janaki (sister),Unknown,Unknown,Unknown,Unknown,Unknown,6
Kristina Akheeva,Unknown,1986-11-01,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,www .kristina-akheeva .com,Unknown,Unknown,Unknown,1
Kriti Kharbanda,Unknown,1990-10-29,Pulkit Samrat ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,29
Kruttikaa,Kruttika,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://kruttikaravindra.com/,Unknown,Unknown,Unknown,Unknown
Kumari Padmini,Padmini Chennai,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kushee Ravi,Sushmitha Ravi,Unknown,Rakesh Kumar ​​ [ 1 ] [ 2 ],Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,23
V. Ravichandran,Veeraswamy Ravichandran,1961-05-30,Sumathy ​​,Unknown,Unknown,Unknown,Unknown,Balaji (brother) [ 3 ],Actor filmmaker composer Lyricist Television Presenter,Unknown,Unknown,Unknown,,30
Prem,Prem Kumar,1975-04-18,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,18
Vijay Raghavendra,Bengaluru,Unknown,Spandana Vijay ​ ​​,Unknown,Unknown,Unknown,1.0,Sriimurali (brother) See Rajkumar family,Actor film director Television presenter,Unknown,Unknown,Unknown,,Unknown
Rajesh,Munichowdappa,1932-04-15,Unknown,Unknown,Unknown,Unknown,Unknown,Arjun Sarja (son-in-law),Unknown,Unknown,Unknown,Unknown,,15
Uma Shivakumar,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,1
Sharath Lohithaswa,Sharatchandra Lohithaswa,1972-05-05,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,1
P. Ravi Shankar,Pudipeddi Ravi Shankar,1966-11-28,Suchil,Unknown,Unknown,Unknown,1.0,Sai Kumar (brother) Aadi (nephew),Actor dubbing artist writer director,Unknown,Partial list,Unknown,,28
Girija Lokesh,Girija,1951-01-10,Lokesh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,10
Satya Prakash,Satya Prakash,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actor director,Unknown,Unknown,Unknown,,1
Master Anand,Anand,1984-01-04,Yashaswini ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Actor film director Television presenter,Official website,Unknown,Unknown,,4
Sharan,Unknown,1972-02-06,Palavi Sharan,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,,6
Bullet Prakash,Prakash,1976-04-02,Manjula,Unknown,Unknown,Bharatiya Janata Party,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,,2
Ragini Dwivedi,Unknown,1990-05-24,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,24
K .Suchendra Prasad,Karnataka,Unknown,Mallika Prasad Sinha ​ ​​,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,,1973
Umashree,Umashree,1957-05-10,Unknown,Unknown,Terdal,Indian National Congress,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,10
Jai Jagadish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown
Chitra Shenoy,Hassan,Unknown,Gurudas Shenoy ​​ [ 1 ],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown
Tara,Anuradha,1973-03-04,H. C. Venugopal ​​,Unknown,Unknown,Bharatiya Janata Party,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,,4
Ashok,Unknown,1951-09-12,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,12
Satya Hegde,Unknown,1975-05-17,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,17
Komal Kumar,Komal Kumar Shivalingappa,1973-07-04,Anasooya,Unknown,Unknown,Unknown,Unknown,Jaggesh (brother),Unknown,Unknown,Unknown,Unknown,,4
Tennis Krishna,Unknown,1961-06-05,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,5
Rekha Vedavyas,Rekha Vedavyas,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,1
Wing CommanderH. G. Dattatreya,Harihar Gundurao Dattatreya,1942-04-20,Unknown,Unknown,Unknown,Unknown,Unknown,H. G. Somashekar Rao (brother),Unknown,Unknown,Unknown,Unknown,,20
Tarun Chandra,Unknown,1983-04-27,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,27
Tharun Sudhir,Unknown,Unknown,Sonal Monteiro ​​,Unknown,Unknown,Unknown,Unknown,Nanda Kishore (Brother),Unknown,Unknown,Unknown,Unknown,,9
Vinayak Joshi,Unknown,1987-08-25,Varsha Belawadi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,25
R. G. Vijayasarathy,Rajapur Gopalarao Vijayasarathy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Film critic actor,Unknown,Unknown,Unknown,,Unknown
Mimicry Dayanand,Dayanand Raman Mysuru,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown
Bank Janardhan,Janardhan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Film actor drama artist,Unknown,Unknown,Unknown,,1949
Shine Shetty,Kundapura,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actor Singer Television host,Unknown,Unknown,Unknown,,Unknown
Tikal Shekar,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actor model,Unknown,Unknown,Unknown,,Unknown
Chikkanna,Unknown,1984-06-22,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,22
Sadhu Kokila,Sahaya Sheela Shadrach,1966-03-24,Saleena,Unknown,Unknown,Unknown,2.0,Unknown,Musician actor film director singer producer,www .sadhukokila .yolasite .com,Unknown,Unknown,,1
Adithya Menon,Unknown,1974-04-06,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,6
Madhusudhan Rao,Madhusudhan Singampalli,Unknown,Shruthi Singampalli [ 1 ],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,1
Mukesh Reshi,Unknown,1956-04-19,Keshni Rishi,Unknown,Unknown,Unknown,2.0,Unknown,Actor film producer,Unknown,Unknown,Unknown,,19
Sampath Raj,Unknown,1968-12-25,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,25
Raghavendra Rajkumar,Unknown,1965-08-15,Mangala,Unknown,Unknown,Unknown,Unknown,See Rajkumar family,Unknown,Unknown,Unknown,Unknown,,15
Dr. Sarigama Viji,Vijaykumar,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actor writer television personality,Unknown,Unknown,Unknown,,1949
Vajrang Shetty,Mani Shetty,1990-07-31,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,31
Ketan Karande,Unknown,1978-04-07,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,7
John Kokken,Anish John Kokken,1981-03-27,Unknown,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,,27
Padmaja Rao,Mysore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown
Priya Anand,Unknown,1986-09-17,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actress model,Unknown,Unknown,Unknown,,17
Rambha,Vijayalakshmi Yeedi,1976-06-05,Indrakumar Pathmanathan ​ ​​,Unknown,Unknown,Unknown,3.0,Unknown,Actress film producer TV Judge,Unknown,Unknown,Unknown,,5
Vishnuvardhan,Sampath Kumar,1950-09-18,Bharathi Rao ​​,Honorary Doctorate – (2005) Bangalore University Indira Prathishtan National Award Karnataka State Film Awards Rajyotsava Award – 1990 Filmfare Awards South Filmfare Special Award – South Filmfare Lifetime Achievement Award – South – 2002,Unknown,Unknown,2.0,Aniruddha Jatkar (son-in-law),Unknown,Unknown,Full list,Unknown,,18
N. Om Prakash Rao,Bengaluru,Unknown,Unknown,Unknown,Unknown,Unknown,4.0,Unknown,Film director screenwriter producer actor,Unknown,Unknown,Unknown,,Unknown
Sundar Raj,Unknown,Unknown,Pramila Joshai,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,1951
Ramesh Bhat,Unknown,1946-01-07,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,7
Sithara,Sithara Parameshwaran Nair,1973-06-30,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,30
Bhargavi Narayan,Unknown,1938-02-04,Belavadi Nanjundaiah Narayana,Unknown,Unknown,Unknown,Unknown,Samyukta Hornad (granddaughter) [ 3 ],Unknown,Unknown,Unknown,Unknown,,4
Rahul Ravi,Rahul,1989-05-21,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Actor model Television Host,Unknown,Unknown,Unknown,,21
Malavika Wales,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown
Khushbu Sundar,Nakhat Khan,1970-09-29,Sundar C ​​,Unknown,Unknown,Bharatiya Janata Party (2020–present),2.0,Unknown,Unknown,Unknown,Unknown,Unknown,,29
Krishi Thapanda,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown
Sanjjana,Archana Manohar Galrani Bangalore,Unknown,Azeez Pasha ​​,Unknown,Unknown,Unknown,1.0,Nikki Galrani (sister) Aadhi Pinisetty (brother-in-law),Unknown,Unknown,Unknown,Unknown,,Unknown
Chitkala Biradar,Gulbarga,Unknown,Jagadeesh Jirgi,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown
Ananya Kasaravalli,Unknown,Unknown,M.S. Santhosh [ 1 ],Unknown,Unknown,Unknown,Unknown,Apurva Kasaravalli (brother) [ 2 ],Unknown,Unknown,Unknown,Girish Kasaravalli (father) Vaishali Kasaravalli (mother),,Unknown
Chandan Shetty,Unknown,1989-09-17,Niveditha Gowda ​ ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Singer-Music Composer - lyricist,Unknown,Unknown,Unknown,,17
Nithya Ram,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rachita Ram (sister),Unknown,Unknown,Unknown,Unknown,,Unknown
Shreya Anchan Sidhu,Unknown,Unknown,Sidhu Sid ​​ [ 1 ],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown
Vanishree,Karnataka,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,Actress (film television),Unknown,Unknown,Unknown,,Unknown
Gayatri Jayaraman,Unknown,Unknown,Samit Sawhny,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown
Riyaz Khan,Unknown,1972-09-09,Uma Riyaz Khan ​​ [ 1 ],Unknown,Unknown,Unknown,Unknown,Unknown,Actor Bodybuilder,Unknown,Unknown,Unknown,,9
Manjula Vijaykumar,Unknown,Unknown,Vijayakumar ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,4
Yuvina Parthavi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown
B. Saroja Devi,Unknown,Unknown,Sri Harsha ​ ​​,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,,Full list,Unknown,Padma Bhushan (1992) Padma Shri (1969),Unknown
Suhasini Maniratnam,Unknown,Unknown,Mani Ratnam ​​,Unknown,Unknown,Unknown,1.0,Unknown,Actress director producer writer Dubbing Artist,,Unknown,Unknown,Unknown,Unknown
Anant Nag,Unknown,Unknown,Gayatri ​​,Padma Bhushan (2025) Filmfare Award Rajyotsava Award (2017),Unknown,Unknown,Unknown,Unknown,Unknown,,Full list,Unknown,Unknown,Unknown
Devaraj,Unknown,Unknown,Chandralekha [ 1 ],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Malashri,Unknown,Unknown,Ramu ​ ​​ [ 1 ],Unknown,Unknown,Unknown,Unknown,Subhashri (step-sister),Unknown,,Unknown,Unknown,Unknown,Unknown
Prema,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Neravanda Aiyappa (brother),Unknown,,Unknown,Unknown,Unknown,Unknown
Avinash Yelandur,Unknown,Unknown,Malavika ​​,Unknown,Unknown,Unknown,1.0,Unknown,Actor professor,,Unknown,Unknown,Unknown,Unknown
Srinath,Unknown,Unknown,Geetha ​​,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Bharathi Vishnuvardhan,Unknown,Unknown,Vishnuvardhan ​ ​​,Padma Shri (2017),Unknown,Unknown,2.0,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Umashree,Unknown,Unknown,Unknown,Unknown,Terdal,Indian National Congress,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Chaya Singh,Unknown,Unknown,Krishna ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Daisy Bopanna,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Neethu,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Pooja Gandhi,Unknown,Unknown,Vijay Ghorpade ​​,Unknown,Unknown,Janata Dal (Secular) (2013) Badavara Shramikara Raitara Congress (2013) Karnataka Janata Paksha (2012–13),Unknown,Unknown,Actress politician,,Unknown,Unknown,Unknown,Unknown
Ramya,Unknown,Unknown,Unknown,Unknown,Mandya,Indian National Congress,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Sanjjana,Unknown,Unknown,Azeez Pasha ​​,Unknown,Unknown,Unknown,1.0,Nikki Galrani (sister) Aadhi Pinisetty (brother-in-law),Unknown,,Unknown,Unknown,Unknown,Unknown
Sindhu Loknath,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Suman Ranganathan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Bhavana,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Deepa Sannidhi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Shashidhar (father) Nanda (mother),Unknown,Unknown
Hariprriya,Unknown,Unknown,Vasishta N. Simha ​​,Unknown,Unknown,Unknown,Unknown,Unknown,Actress model,,Full list,Unknown,Unknown,Unknown
Meghana Gaonkar,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Nidhi Subbaiah,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Radhika Kumaraswamy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,Actress film producer,,Unknown,Unknown,Unknown,Unknown
Ragini Dwivedi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
Suman Nagarkar,Unknown,Unknown,Gurudev Nagaraja [ 1 ],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown
